robyn_robyn_0001|Dragon gets by. Shopping.
robyn_robyn_0109|And that was all right because living with Maya and sharing everything was even better than being an cool pig from alaska.
robyn_robyn_0111|The Surprise. Written by Janson Marshall. One late summer morning greg had a wicket idea. I should he said. I really should. Shouldn't.
robyn_robyn_0112|I shouldn't he said, I really shouldn't but he just could help, couldn't help himself. Here comes the rain he cried.
robyn_robyn_0113|Agots screamed Martha.
robyn_robyn_0114|Martha was thoroughly denched and as mad as a wet hen.
robyn_robyn_0117|But Martha was unmooed.
robyn_robyn_0119|Then she remembered,
robyn_robyn_0121|I was only horsing around said Gre George. But Martha was unmoved.
robyn_robyn_0122|The next morning Martha reed a funny story. I can't wait to tell George, she said. Then she remembered that she and George were no longer on speaking terms. Around noon Martha heard a joke on the radio.
robyn_robyn_0123|George will love this one, she said.
robyn_robyn_0124|But she and George weren't speaking. In the afternoon Martha observed the first autumn leave fall to the ground. Autumn is George's favorite season, she said. Another leave came swirling down. That does it, said Martha. Martha went straight to George house. George's house. I forgive you, she said. George was the likely to be back on speaking terms. Good friends just can't stay cross for long, said George.
robyn_robyn_0125|Good friends can't stay cross for long said George.
robyn_robyn_0126|You can say that again, said Martha and together they watched the autumn arrive.
robyn_robyn_0128|But when summer rolled around again, Martha was ready and waiting.
robyn_robyn_0129|Mr. Brown went to town. By Wong Herbert Lee
robyn_robyn_0130|Mr. Brown was in a barn out back with a cow two pigs three ducks and a yack. Life on the farm wasn't always this way. Everything changed just last saturday.
robyn_robyn_0131|When riding her bicycle down the street a terrier means a dog taste Mrs. Browns feet.
robyn_robyn_0132|In a hospital bed she rested waiting to be x-rayed and tested. Mr. Brown send word in a letter to say she'd come home,
robyn_robyn_0133|...to say she'd come home when she was better and the envelope said, will be home soon, be good.
robyn_robyn_0135|They rang the doorbell to hear the chims, flushed the toilet one hundred times. That's really crazy
robyn_robyn_0136|...raced up the stairs, came sliding back down, each one wearing a different gown.
robyn_robyn_0137|...took turns bouncing on Mrs. Brown's bed, painted the house in matching barn red.
robyn_robyn_0138|They rided th the pantry
robyn_robyn_0139|They raided the pantry, prepared a snack for a cow two pigs three ducks and a yack.
robyn_robyn_0140|In the bathroom they played for hours, putting on makeup and taking long shoers showers.
robyn_robyn_0141|They dried off in front of a roaring fire, warm and cozy but beginning to tire. Fire and tire rhyme. Tip toed upstairs by candle light, borrow pajamas to wear for the night.
robyn_robyn_0142|The hospital released Mrs. Brown.
robyn_robyn_0143|...at eight. A taxi cab dropped her off by the gate.
robyn_robyn_0144|She hobbled upstairs and crawled in the sack, didn't see a cow two pigs three ducks and a yack.
robyn_robyn_0145|The floor beneath them began to crack.
robyn_robyn_0146|The four walls and windows start to shake.
robyn_robyn_0147|All this commotion woke Mr. Brown.
robyn_robyn_0148|...in time to feel her bed crashing down. The police were first to arrive on the scene.
robyn_robyn_0149|Fire f trucks dispatched from station thirteen. An ambulance raced all the way from town and cra carried away poor Mr. Brown.
robyn_robyn_0150|In the hospital she lay on her her back with a cow two pigs three ducks and a yack.
robyn_robyn_0152|In a taxi they cramped all eight.
robyn_robyn_0153|The driver dropped them off by the gate. He sweeped out the feathers and
robyn_robyn_0154|hair and
robyn_robyn_0155|charged Mr. Brown twice the fare.
robyn_robyn_0156|Life on farm wasn't always this way until Mr. Brown Mrs. Brown went to town that day. So now she lives in a barn out back with a cow two pigs three ducks and a yack. That's it.
robyn_robyn_0158|Father, he said, buy me a microscope, please.
robyn_robyn_0159|What for? asked his father.
robyn_robyn_0160|So I can see tiny things, said Greg.
robyn_robyn_0161|Can't you see
robyn_robyn_0163|Look at this spot.
robyn_robyn_0164|It is tiny.
robyn_robyn_0165|Look at this ant.
robyn_robyn_0166|It is tiny.
robyn_robyn_0167|What do you want to see?
robyn_robyn_0168|Well, said Greg.
robyn_robyn_0169|Billy has a microscope.
robyn_robyn_0170|It came in a box with some glass slides.
robyn_robyn_0171|He can see the hairs on a spider's foot.
robyn_robyn_0172|He can see the little hooks in a bird's feather.
robyn_robyn_0173|They are tiny. But they look big under the microscope.
robyn_robyn_0174|I want to see those things, too.
robyn_robyn_0175|Can't you look through Billy's microscope? asked Greg's father.
robyn_robyn_0176|He is using it. I need my own, said Greg.
robyn_robyn_0177|I will have to think about that, said his father.
robyn_robyn_0178|Microscopes cost a lot of money.
robyn_robyn_0179|Oh, said Greg.
robyn_robyn_0180|Billy's father didn't not pay a lot.
robyn_robyn_0181|I will speak to him, said Greg's father.
robyn_robyn_0182|Greg's father
robyn_robyn_0184|Then he began to shop for a microscope.
robyn_robyn_0185|He went to the toy stores.
robyn_robyn_0186|He went to the big dar department stores.
robyn_robyn_0187|He went to a pa p place where they sold.
robyn_robyn_0188|sold used microscopes.
robyn_robyn_0189|He came home with a big box. Greg, he called.
robyn_robyn_0190|Greg came running. What is in the box? he said asked.
robyn_robyn_0191|Open it
robyn_robyn_0192|it and see,
robyn_robyn_0193|his father.
robyn_robyn_0194|Greg opened the box.
robyn_robyn_0196|What a microscope.
robyn_robyn_0197|Did you pay a lot? Greg asked.
robyn_robyn_0198|Not too much, said his father.
robyn_robyn_0199|Greg's father put the microscope on the table in front of the window.
robyn_robyn_0200|Look into it, he asked.
robyn_robyn_0201|Greg sat down. He looked into it.
robyn_robyn_0202|I can't see anything.
robyn_robyn_0203|It is all dark, he said.
robyn_robyn_0205|ss said his father.
robyn_robyn_0206|Greg moved the mirror.
robyn_robyn_0207|I can see
robyn_robyn_0210|said his father. Look at at tiny things.
robyn_robyn_0211|Greg sat still.
robyn_robyn_0212|Didn't you buy some slides for me to
robyn_robyn_0213|look at? No, Greg, said his f his father.
robyn_robyn_0214|Find your own tiny things.
robyn_robyn_0215|What shall I look at? asked Greg.
robyn_robyn_0216|What is tiny? He ran into the kitchen.
robyn_robyn_0217|Mother, he said,
robyn_robyn_0220|His mother was holding
robyn_robyn_0221|the salt box. Try some salt, he said
robyn_robyn_0222|she said.
robyn_robyn_0224|He put some salt on it.
robyn_robyn_0225|The he went to the microscope.
robyn_robyn_0226|He put the slide on.
robyn_robyn_0227|Wait, called Greg's father.
robyn_robyn_0228|I will show you how to use it.
robyn_robyn_0229|He showed Greg
robyn_robyn_0230|how to move the wheels until he could see the salt.
robyn_robyn_0231|The salt looks like big blocks, Greg said.
robyn_robyn_0232|Well, said his father.
robyn_robyn_0233|The salt looks hundred times bigger than it really is.
robyn_robyn_0234|Hundred times bigger!
robyn_robyn_0235|said Greg.
robyn_robyn_0237|She looked through the microscope.
robyn_robyn_0238|My goodness, she said.
robyn_robyn_0239|The salt looks like rocks.
robyn_robyn_0240|Come into the kitchen, Greg.
robyn_robyn_0241|Let's look for more tiny things.
robyn_robyn_0242|Greg did not go right away. He just
robyn_robyn_0243|keep looking
robyn_robyn_0245|Add some water, said his father.
robyn_robyn_0246|Greg got some water and put a drop on the salt.
robyn_robyn_0247|Then he looked into the microscope.
robyn_robyn_0248|Father, he cried,
robyn_robyn_0249|the salt is
robyn_robyn_0250|getting smaller and smaller.
robyn_robyn_0251|It's going.
robyn_robyn_0252|It's going. It's gone!
robyn_robyn_0253|My salt is gone! said Greg.
robyn_robyn_0254|greg
robyn_robyn_0255|Where did it go?
robyn_robyn_0256|Put the slide in the sun. Let it dry.
robyn_robyn_0257|Greg put the slide in the sun.
robyn_robyn_0259|and went into the kitchen.
robyn_robyn_0260|Let's try some sugar, he said
robyn_robyn_0261|to his mother.
robyn_robyn_0262|Greg's mother gave him some sugar.
robyn_robyn_0263|Greg put it on the slide.
robyn_robyn_0264|Then he went back to look at it through the microscope.
robyn_robyn_0265|Sugar looks like blocks, too. But these blocks are not as even as the salt blocks, he said.
robyn_robyn_0266|Add some water, said his father.
robyn_robyn_0267|No, said Greg.
robyn_robyn_0268|I lost the salt.
robyn_robyn_0269|I will lose the sugar, too.
robyn_robyn_0270|See if your salt slide is dry, said his father.
robyn_robyn_0272|Father, he said.
robyn_robyn_0273|The salt came out of the water.
robyn_robyn_0274|It is back on the slide. But it looks different.
robyn_robyn_0275|You get better crystals.
robyn_robyn_0276|You get better crystals when they form in water, said his father.
robyn_robyn_0278|What are they?
robyn_robyn_0279|Look at them and see, said his father.
robyn_robyn_0280|Greg put the slide on the microscope.
robyn_robyn_0282|The salt looks like glass blocks now.
robyn_robyn_0283|Let me look, said his father, and call Mother.
robyn_robyn_0284|Greg went to get his mother.
robyn_robyn_0285|His mother.
robyn_robyn_0286|Mother looked through the microscope.
robyn_robyn_0287|Almost like diamonds, she said.
robyn_robyn_0288|That's right, said Greg's father.
robyn_robyn_0289|Every thing little crystals of sugar.
robyn_robyn_0290|Every little crystal of sugar and salt
robyn_robyn_0291|has sharp corners, just like diamonds.
robyn_robyn_0292|Do all crystals have sharp corners? asked Greg.
robyn_robyn_0293|Yes, said his father.
robyn_robyn_0296|Said Greg.
robyn_robyn_0298|He looked through the microscope. Each little block.
robyn_robyn_0300|Going gone, said Greg.
robyn_robyn_0301|He put the slide in the sun.
robyn_robyn_0302|He looked at it when it was dry. The sugar looked like glass flau flowers.
robyn_robyn_0303|What beautiful crystals, Greg said.
robyn_robyn_0304|Now let's look at at pepper.
robyn_robyn_0305|He put some pepper on a slide and looked at it.
robyn_robyn_0306|No crystals he.
robyn_robyn_0308|Pepper looks like dirt.
robyn_robyn_0309|The next day was a holiday.
robyn_robyn_0311|Come and see my new microscope, said Greg.
robyn_robyn_0312|This is a good one, Billy said.
robyn_robyn_0313|Let me see some slides, I.
robyn_robyn_0314|I made my own, said Greg.
robyn_robyn_0315|And he showed Billy the salt and sugar slides.
robyn_robyn_0316|Billy looked.
robyn_robyn_0317|Those are crystals, says Greg.
robyn_robyn_0318|Ever.
robyn_robyn_0319|Every little crystal of sugar and salt has sharp corners, like diamonds.
robyn_robyn_0321|No, said Greg.
robyn_robyn_0322|Look at pepper.
robyn_robyn_0323|Billy looked at the pepper.
robyn_robyn_0324|Let's look at more things, he said.
robyn_robyn_0325|How about flour?
robyn_robyn_0326|Did you look at flour?
robyn_robyn_0327|How about butter? And milk?
robyn_robyn_0328|One thing at a time, said Greg.
robyn_robyn_0330|Add a drop of water, said Billy.
robyn_robyn_0331|Will the flour go into the water? asked Greg.
robyn_robyn_0332|I don't know, said Billy.
robyn_robyn_0333|Greg put water on the flour.
robyn_robyn_0334|He looked through the microscope.
robyn_robyn_0335|No, he said.
robyn_robyn_0336|The flour stays there. Don't you have a cover glass?
robyn_robyn_0337|asked Billy.
robyn_robyn_0338|Put a cover glass.
robyn_robyn_0339|On.
robyn_robyn_0340|Why? asked Greg.
robyn_robyn_0341|You will see better, said Billy.
robyn_robyn_0342|Greg started to put the cover glass.
robyn_robyn_0344|Billy watched.
robyn_robyn_0345|Don't plop it on, he said.
robyn_robyn_0346|Why not? asked Greg.
robyn_robyn_0347|You will get too many air bubbles, said Billy.
robyn_robyn_0348|Good! I want to see what they look like, said Greg.
robyn_robyn_0349|Oh, you will see, said Billy.
robyn_robyn_0350|Just plop the cover.
robyn_robyn_0351|Glass on Greg did just that.
robyn_robyn_0352|Then he looked at the slide.
robyn_robyn_0353|What are those big black circles asked Greg.
robyn_robyn_0354|Air bubbles, said Billy.
robyn_robyn_0355|I like them! said Greg.
robyn_robyn_0356|Where.
robyn_robyn_0358|Let me see.
robyn_robyn_0359|Said Billy.
robyn_robyn_0360|Those little clear things must be the flour.
robyn_robyn_0361|Just then Greg's mother came in.
robyn_robyn_0362|Flour? she said. Let me see what it looks like.
robyn_robyn_0363|I see black rings.
robyn_robyn_0364|I see black rings.
robyn_robyn_0365|Those are air bubbles, said Greg.
robyn_robyn_0366|Look between them.
robyn_robyn_0367|You will see little clear things.
robyn_robyn_0368|A that is the flour.
robyn_robyn_0369|Greg said his mother.
robyn_robyn_0370|Greg said to his mother.
robyn_robyn_0371|You know so much.
robyn_robyn_0372|Oh, not so much, said Greg.
robyn_robyn_0373|And he looked at Billy.
robyn_robyn_0374|Greg's mother sat down to sju.
robyn_robyn_0375|Greg and Billy keep looking at different things.
robyn_robyn_0376|They looked at butter.
robyn_robyn_0377|They looked at milk.
robyn_robyn_0378|They looked at dust.
robyn_robyn_0379|Every minute Greg's mother heard the boys say, Oh, look at this.
robyn_robyn_0380|Woah, see this.
robyn_robyn_0381|Then they were standing near her.
robyn_robyn_0382|May we look at your thread?
robyn_robyn_0383|They asked.
robyn_robyn_0384|Sure, she said.
robyn_robyn_0385|Here is a piece of cotton thread.
robyn_robyn_0386|Greg took the thread.
robyn_robyn_0387|He made a slide and looked at it.
robyn_robyn_0388|This is the best yet.
robyn_robyn_0389|This isn't the best yet, he said.
robyn_robyn_0391|Look, Mother.
robyn_robyn_0392|Greg's mother looked.
robyn_robyn_0393|Billy looked.
robyn_robyn_0394|The cotton thread was ra really many threads twisted together.
robyn_robyn_0395|This is wonderful, said Greg's mum.
robyn_robyn_0396|Try some of my wool.
robyn_robyn_0397|Greg put a piece of wool under the microscope.
robyn_robyn_0398|Each wool thread was really men really many threads twist together.
robyn_robyn_0399|But look, Billy, said Greg.
robyn_robyn_0400|Look at one of the wool threads.
robyn_robyn_0401|It has scales all over it, like fish scales.
robyn_robyn_0402|Billy looked. Hmm, he said.
robyn_robyn_0403|Maybe all hair hair looks like that.
robyn_robyn_0404|Hair, cried Greg. What has has hair to do with wool?
robyn_robyn_0406|Greg thought. From sheep, he yelled.
robyn_robyn_0407|I get it.
robyn_robyn_0408|Wool is sheep hair. So there, said Billy.
robyn_robyn_0409|On Monday Greg came home from school. He had an idea.
robyn_robyn_0410|I am going to look at other hairs, he said to his mother.
robyn_robyn_0411|He pulled hair from his head.
robyn_robyn_0412|Now I will see what it looks like, he said.
robyn_robyn_0413|He made a slide.
robyn_robyn_0414|He looked at his hair.
robyn_robyn_0415|Does it look like wool? asked his mother.
robyn_robyn_0416|Greg looked at his mother.
robyn_robyn_0417|I am not a sheep, he said.
robyn_robyn_0419|His mother.
robyn_robyn_0420|I wonder what I a god a dog's hair looks like.
robyn_robyn_0421|Mother, said Greg. You wonder almost as much as I do.
robyn_robyn_0422|Where will I find a dog?
robyn_robyn_0423|Just then the doorbell rang.
robyn_robyn_0424|Greg went to the door.
robyn_robyn_0426|Greg looked at her dog.
robyn_robyn_0427|Sure, Mrs. Broom.
robyn_robyn_0428|Come in. Please, said Greg.
robyn_robyn_0429|Oh, hello, Mrs. Broom, said Greg's mother.
robyn_robyn_0430|Greg!
robyn_robyn_0431|greg! A dog! Just in time.
robyn_robyn_0432|May we have one of Coco's hairs.
robyn_robyn_0433|Mrs. Broom? Greg one.
robyn_robyn_0434|May we have one of Coco's hair, Mrs. Broom?
robyn_robyn_0435|Greg wants to look at it through the microscope.
robyn_robyn_0436|Well, in that case, said Mrs. Broom.
robyn_robyn_0437|Well in the case that said Mrs. Brow Broom.
robyn_robyn_0438|She looked at the sleeve of her coat.
robyn_robyn_0439|Her.
robyn_robyn_0440|Here are a few few, she said.
robyn_robyn_0441|Greg took the hair.
robyn_robyn_0442|He put them on a slide with water and a cover slip.
robyn_robyn_0443|Greg looked at the slide.
robyn_robyn_0444|Let me see, said his mother.
robyn_robyn_0445|I want to see my dog's hair, said Mrs. Broom.
robyn_robyn_0446|One at a time, said Greg.
robyn_robyn_0447|One at a time.
robyn_robyn_0448|Mrs. Broom looked.
robyn_robyn_0449|His mu.
robyn_robyn_0450|His mother looked.
robyn_robyn_0451|It's hard to believe, said Mrs. Broom.
robyn_robyn_0452|One little hair.
robyn_robyn_0453|Look like a long pole.
robyn_robyn_0454|Greg looked.
robyn_robyn_0455|Looked at Coco.
robyn_robyn_0456|Don't you want to look too? he asked.
robyn_robyn_0457|But Coco just wagged his tail.
robyn_robyn_0458|One day Greg said to his mother, my teacher wants me to bring my microscope to school.
robyn_robyn_0459|Don't.
robyn_robyn_0460|They have one? asked his mother.
robyn_robyn_0462|Well, carry it ev it very careful lee, said his mother.
robyn_robyn_0463|Greg took the microscpe to school.
robyn_robyn_0464|When he came home, he said, mother, the teacher showed us how every living thing is made of seals.
robyn_robyn_0465|Seals? said Greg's mother.
robyn_robyn_0467|Well, show me, said Greg's mother.
robyn_robyn_0468|Let's get an onion, said Greg.
robyn_robyn_0469|He peeled off the thin clear skin from a piece of onion.
robyn_robyn_0470|He made a slide and looked at it.
robyn_robyn_0471|See, he said.
robyn_robyn_0472|There are the se seals.
robyn_robyn_0473|Greg's mother looked.
robyn_robyn_0474|They are like bricks in a wall, she said.
robyn_robyn_0475|I'll show you my seals, said Greg.
robyn_robyn_0476|Don't cut yourself, said his mother.
robyn_robyn_0477|I won't. Just watch.
robyn_robyn_0479|Greg took a tooth pin.
robyn_robyn_0480|Tooth pin he rubbed.
robyn_robyn_0481|And the end of it on the sa inside of his mouth.
robyn_robyn_0482|Then he rubbed that end an in a drop of water on a slide.
robyn_robyn_0484|Then he looked through the microscope.
robyn_robyn_0485|Here, Mother, he said.
robyn_robyn_0486|These are my very own seals.
robyn_robyn_0487|His mother looked. That what nice cells, she said.
robyn_robyn_0488|Greg had a new idea.
robyn_robyn_0489|I'm going to look at the leaves in my fish tank, he said.
robyn_robyn_0490|Maybe I will see seals there, too.
robyn_robyn_0492|Green bricks, he called to his mother.
robyn_robyn_0493|Then he moved the slide to see the edge of the leaf.
robyn_robyn_0494|Things are moving there.
robyn_robyn_0495|Things are moving here, he cried.
robyn_robyn_0496|Just then Greg's father came home.
robyn_robyn_0497|What's for dinner? he asked. I'm hungry.
robyn_robyn_0498|Greg's mother went to the kitchen dinner.
robyn_robyn_0499|Dinner will will be ready soon he said.
robyn_robyn_0500|she said.
robyn_robyn_0501|See what Greg has under the microscope.
robyn_robyn_0502|Take a look, said Greg.
robyn_robyn_0503|It is the busiest play pl place you ever saw.
robyn_robyn_0504|Greg's father looked.
robyn_robyn_0505|Those are animals, Greg, he said.
robyn_robyn_0506|And each animal is just one single cell.
robyn_robyn_0507|I just learned about seals, said Greg.
robyn_robyn_0508|But I didn't know there could be a whole animal of just one seal!
robyn_robyn_0509|There must be a hundred of them on that one leaf.
robyn_robyn_0510|This far. His father keep looking.
robyn_robyn_0511|He looked and looked. Greg waited his mother came into the room.
robyn_robyn_0512|Did you see this? asked Greg's father.
robyn_robyn_0513|No, let me see she said.
robyn_robyn_0514|Down to look Greg waited.
robyn_robyn_0515|Then he looked at his father.
robyn_robyn_0517|Wilma the witch has a crazy broom.
robyn_robyn_0518|It likes to fly around her room.
robyn_robyn_0519|She also has a fat cat and a pet rat.
robyn_robyn_0520|Wilma loves her pet rat.
robyn_robyn_0521|She calls the rat my little brat.
robyn_robyn_0522|The rat hatis the cat.
robyn_robyn_0523|The cat does not care.
robyn_robyn_0524|The cat, who's fat, just lies in the vat and stares a at the rat.
robyn_robyn_0525|The rat hates that.
robyn_robyn_0526|One night, when Wilma was out, the fat cat got out of the vat.
robyn_robyn_0527|He went, pit a pat
robyn_robyn_0528|And sat on the mat.
robyn_robyn_0529|This is my mat! said the rat.
robyn_robyn_0530|So what, said the cat.
robyn_robyn_0531|So get off! said the rat.
robyn_robyn_0532|No I won't, said the cat.
robyn_robyn_0534|It will get you off the mat.
robyn_robyn_0535|No it won't, said the cat.
robyn_robyn_0536|This is the ma mat of the rat
robyn_robyn_0538|So what, said the cat.
robyn_robyn_0539|So get off! said the bat.
robyn_robyn_0540|No I won't, said the cat.
robyn_robyn_0541|Then I will go and get my hat.
robyn_robyn_0542|Said the rat bat.
robyn_robyn_0543|Said the bat.
robyn_robyn_0544|It will get out of the.
robyn_robyn_0545|you get you ow off that ma the mat.
robyn_robyn_0546|No it won't, said the cat.
robyn_robyn_0548|So what, said the cat.
robyn_robyn_0549|So get off! said the sh said the hat.
robyn_robyn_0550|No I won't, said the cat.
robyn_robyn_0551|I am a cat, and I am fat.
robyn_robyn_0554|We shall see, said the hat.
robyn_robyn_0557|Big deal, a dish, said the cat.
robyn_robyn_0558|A dish and wheat else? asked the hat.
robyn_robyn_0559|Hmmm a fish! said the cat.
robyn_robyn_0560|A fish on a dish, said the hat.
robyn_robyn_0561|For me? asked the cat.
robyn_robyn_0562|Yes, for you, said the hat.
robyn_robyn_0563|Bring it closer, said the cat.
robyn_robyn_0565|You think I am stupid, said the cat.
robyn_robyn_0566|You want to get me off the mat.
robyn_robyn_0567|I won't get off, and that is that!
robyn_robyn_0568|Ratatat.
robyn_robyn_0570|I don't know, said the hat.
robyn_robyn_0571|Ratatat.
robyn_robyn_0572|It sounds like a rat with a tat, said the cat.
robyn_robyn_0573|It's not me, said the bat rat.
robyn_robyn_0574|It's not me, said the rat.
robyn_robyn_0575|What is a tat? asked the bat.
robyn_robyn_0576|I don't know, said the hat.
robyn_robyn_0577|Look! The broom!
robyn_robyn_0578|Look! The broom! cried the rat the bat.
robyn_robyn_0579|The broom flew into the room.
robyn_robyn_0580|It zoomed over the mat,
robyn_robyn_0581|over the cat,
robyn_robyn_0582|over the hat and
robyn_robyn_0584|It landed on the hat,
robyn_robyn_0585|which landed on the bat,
robyn_robyn_0586|who landed on the rat,
robyn_robyn_0587|who landed on the cat, lying flat on the mat.
robyn_robyn_0589|No we won't! said the hat and the bat and the ha rat.
robyn_robyn_0591|Wilma came home. She looked at the room. She picked up the broom.
