( puppetry_emphasis_S_37 "Sarah brought the cake." )
( puppetry_emphasis_S_38 "Holly ate the cupcakes." )
( puppetry_emphasis_S_39 "Sarah ate the blondies." )
( puppetry_emphasis_S_40 "James ate the cupcakes." )
( puppetry_emphasis_S_41 "John ate the brownies." )
( puppetry_emphasis_S_42 "Mary brought the brownies." )
( puppetry_emphasis_S_43 "John brought the cookies." )
( puppetry_emphasis_S_44 "James brought the blondies." )
( puppetry_emphasis_S_45 "Susan ate the brownies." )
( puppetry_emphasis_S_46 "Susan ate the cake." )
( puppetry_emphasis_S_47 "James brought the cake." )
( puppetry_emphasis_S_48 "Mary baked the blondies." )
( puppetry_emphasis_S_49 "Susan brought the cookies." )
( puppetry_emphasis_S_50 "Lily ate the brownies." )
( puppetry_emphasis_S_51 "Mary baked the cupcakes." )
( puppetry_emphasis_S_52 "Susan baked the cake." )
( puppetry_emphasis_S_53 "James ate the cake." )
( puppetry_emphasis_S_54 "John brought the brownies." )
( puppetry_emphasis_S_55 "Holly ate the cake." )
( puppetry_emphasis_S_56 "Lily baked the cake." )
( puppetry_emphasis_S_57 "Susan baked the brownies." )
( puppetry_emphasis_S_58 "Lily ate the cookies." )
( puppetry_emphasis_S_59 "John brought the blondies." )
( puppetry_emphasis_V_60 "James baked the cake." )
( puppetry_emphasis_V_61 "Holly brought the blondies." )
( puppetry_emphasis_V_62 "Susan brought the brownies." )
( puppetry_emphasis_V_63 "Lily ate the blondies." )
( puppetry_emphasis_V_64 "Lily baked the cupcakes." )
( puppetry_emphasis_V_65 "Susan brought the cupcakes." )
( puppetry_emphasis_V_66 "Sarah baked the cupcakes." )
( puppetry_emphasis_V_67 "John baked the blondies." )
( puppetry_emphasis_V_68 "James baked the blondies." )
( puppetry_emphasis_V_69 "John baked the cookies." )
( puppetry_emphasis_V_70 "Sarah brought the cookies." )
( puppetry_emphasis_V_71 "Holly brought the cupcakes." )
( puppetry_emphasis_V_72 "Susan ate the cupcakes." )
( puppetry_emphasis_V_73 "Mary ate the cookies." )
( puppetry_emphasis_V_74 "Sarah ate the cupcakes." )
( puppetry_emphasis_V_75 "Holly baked the cookies." )
( puppetry_emphasis_V_76 "Sarah brought the cupcakes." )
( puppetry_emphasis_V_77 "Mary baked the cake." )
( puppetry_emphasis_V_78 "John ate the cake." )
( puppetry_emphasis_V_79 "James ate the cookies." )
( puppetry_emphasis_V_80 "Lily baked the brownies." )
( puppetry_emphasis_V_81 "James ate the blondies." )
( puppetry_emphasis_V_82 "John ate the blondies." )
( puppetry_emphasis_V_83 "Lily brought the cupcakes." )
( puppetry_emphasis_V_84 "Holly baked the brownies." )
( puppetry_emphasis_V_85 "Sarah baked the cake." )
( puppetry_emphasis_V_86 "John baked the cake." )
( puppetry_emphasis_V_87 "Sarah ate the cake." )
( puppetry_emphasis_V_88 "Mary brought the cookies." )
( puppetry_emphasis_V_89 "Lily brought the blondies." )
( puppetry_emphasis_V_90 "Sarah brought the blondies." )
( puppetry_emphasis_V_91 "Holly brought the cookies." )
( puppetry_emphasis_V_92 "John baked the brownies." )
( puppetry_emphasis_V_93 "Holly baked the blondies." )
( puppetry_emphasis_V_94 "Holly ate the blondies." )
( puppetry_emphasis_V_95 "Sarah brought the brownies." )
( puppetry_emphasis_V_96 "Mary brought the cupcakes." )
( puppetry_emphasis_V_97 "Sarah brought the cake." )
( puppetry_emphasis_V_98 "Holly ate the cupcakes." )
( puppetry_emphasis_V_99 "Sarah ate the blondies." )
( puppetry_emphasis_V_100 "James ate the cupcakes." )
( puppetry_emphasis_V_101 "John ate the brownies." )
( puppetry_emphasis_V_102 "Mary brought the brownies." )
( puppetry_emphasis_V_103 "John brought the cookies." )
( puppetry_emphasis_V_104 "James brought the blondies." )
( puppetry_emphasis_V_105 "Susan ate the brownies." )
( puppetry_emphasis_V_106 "Susan ate the cake." )
( puppetry_emphasis_V_107 "James brought the cake." )
( puppetry_emphasis_V_108 "Mary baked the blondies." )
( puppetry_emphasis_V_109 "Susan brought the cookies." )
( puppetry_emphasis_V_110 "Lily ate the brownies." )
( puppetry_emphasis_V_111 "Mary baked the cupcakes." )
( puppetry_emphasis_V_112 "Susan baked the cake." )
( puppetry_emphasis_V_113 "James ate the cake." )
( puppetry_emphasis_V_114 "John brought the brownies." )
( puppetry_emphasis_V_115 "Holly ate the cake." )
( puppetry_emphasis_V_116 "Lily baked the cake." )
( puppetry_emphasis_V_117 "Susan baked the brownies." )
( puppetry_emphasis_V_118 "Lily ate the cookies." )
( puppetry_emphasis_V_119 "John brought the blondies." )
( puppetry_emphasis_0_120 "James baked the cake." )
( puppetry_emphasis_0_121 "Holly brought the blondies." )
( puppetry_emphasis_0_122 "Susan brought the brownies." )
( puppetry_emphasis_0_123 "Lily ate the blondies." )
( puppetry_emphasis_0_124 "Lily baked the cupcakes." )
( puppetry_emphasis_0_125 "Susan brought the cupcakes." )
( puppetry_emphasis_0_126 "Sarah baked the cupcakes." )
( puppetry_emphasis_0_127 "John baked the blondies." )
( puppetry_emphasis_0_128 "James baked the blondies." )
( puppetry_emphasis_0_129 "John baked the cookies." )
( puppetry_emphasis_0_130 "Sarah brought the cookies." )
( puppetry_emphasis_0_131 "Holly brought the cupcakes." )
( puppetry_emphasis_0_132 "Susan ate the cupcakes." )
( puppetry_emphasis_0_133 "Mary ate the cookies." )
( puppetry_emphasis_0_134 "Sarah ate the cupcakes." )
( puppetry_emphasis_0_135 "Holly baked the cookies." )
( puppetry_emphasis_0_136 "Sarah brought the cupcakes." )
( puppetry_emphasis_0_137 "Mary baked the cake." )
( puppetry_emphasis_0_138 "John ate the cake." )
( puppetry_emphasis_0_139 "James ate the cookies." )
( puppetry_emphasis_0_140 "Lily baked the brownies." )
( puppetry_emphasis_0_141 "James ate the blondies." )
( puppetry_emphasis_0_142 "John ate the blondies." )
( puppetry_emphasis_0_143 "Lily brought the cupcakes." )
( puppetry_emphasis_0_144 "Holly baked the brownies." )
( puppetry_emphasis_0_145 "Sarah baked the cake." )
( puppetry_emphasis_0_146 "John baked the cake." )
( puppetry_emphasis_0_147 "Sarah ate the cake." )
( puppetry_emphasis_0_148 "Mary brought the cookies." )
( puppetry_emphasis_0_149 "Lily brought the blondies." )
( puppetry_emphasis_0_150 "Sarah brought the blondies." )
( puppetry_emphasis_0_151 "Holly brought the cookies." )
( puppetry_emphasis_0_152 "John baked the brownies." )
( puppetry_emphasis_0_153 "Holly baked the blondies." )
( puppetry_emphasis_0_154 "Holly ate the blondies." )
( puppetry_emphasis_0_155 "Sarah brought the brownies." )
( puppetry_emphasis_0_156 "Mary brought the cupcakes." )
( puppetry_emphasis_0_157 "Sarah brought the cake." )
( puppetry_emphasis_0_158 "Holly ate the cupcakes." )
( puppetry_emphasis_0_159 "Sarah ate the blondies." )
( puppetry_emphasis_0_160 "James ate the cupcakes." )
( puppetry_emphasis_0_161 "John ate the brownies." )
( puppetry_emphasis_0_162 "Mary brought the brownies." )
( puppetry_emphasis_0_163 "John brought the cookies." )
( puppetry_emphasis_0_164 "James brought the blondies." )
( puppetry_emphasis_0_165 "Susan ate the brownies." )
( puppetry_emphasis_0_166 "Susan ate the cake." )
( puppetry_emphasis_0_167 "James brought the cake." )
( puppetry_emphasis_0_168 "Mary baked the blondies." )
( puppetry_emphasis_0_169 "Susan brought the cookies." )
( puppetry_emphasis_0_170 "Lily ate the brownies." )
( puppetry_emphasis_0_171 "Mary baked the cupcakes." )
( puppetry_emphasis_0_172 "Susan baked the cake." )
( puppetry_emphasis_0_173 "James ate the cake." )
( puppetry_emphasis_0_174 "John brought the brownies." )
( puppetry_emphasis_0_175 "Holly ate the cake." )
( puppetry_emphasis_0_176 "Lily baked the cake." )
( puppetry_emphasis_0_177 "Susan baked the brownies." )
( puppetry_emphasis_0_178 "Lily ate the cookies." )
( puppetry_emphasis_0_179 "John brought the blondies." )
( puppetry_ohmygod_01 "Oh my god." )
( puppetry_ohmygod_02 "Oh my god," )
( puppetry_ohmygod_03 "Oh my god!" )
( puppetry_ohmygod_04 "Oh my god..." )
( puppetry_ohmygod_05 "Oh my god?!" )
